City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vestmannaeyjar,IS,63.4427,-20.2734,43.83,73,100,5.08,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,71.02,69,98,20.11,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,60.82,93,100,12.66,overcast clouds
3,Chokurdakh,RU,70.6333,147.9167,15.67,93,100,18.32,light snow
4,Upernavik,GL,72.7868,-56.1549,16.68,72,88,7.09,overcast clouds
5,Tuatapere,NZ,-46.1333,167.6833,51.24,50,62,6.76,broken clouds
6,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,54.48,88,62,4.45,broken clouds
8,Lebu,CL,-37.6167,-73.65,48.88,81,96,15.61,overcast clouds
9,Necochea,AR,-38.5473,-58.7368,50.81,85,19,5.35,light rain
10,Koulikoro,ML,14.0,-7.75,79.21,43,100,6.4,overcast clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,44,0,7.0,clear sky
12,Vaini,TO,-21.2,-175.2,77.16,78,40,18.41,scattered clouds
13,Hobart,AU,-42.8794,147.3294,74.26,58,75,14.97,broken clouds
14,Omsukchan,RU,62.5333,155.8,9.45,89,97,4.25,overcast clouds
15,Saskylakh,RU,71.9167,114.0833,14.95,97,83,5.17,broken clouds
16,Hovd,MN,48.0056,91.6419,39.49,32,76,4.83,broken clouds
17,Harnosand,SE,62.6323,17.9379,37.0,80,31,7.76,scattered clouds
18,Jamestown,US,42.097,-79.2353,41.52,75,100,5.75,overcast clouds
19,Ilulissat,GL,69.2167,-51.1,21.22,73,75,4.61,broken clouds
20,Mataura,NZ,-46.1927,168.8643,54.12,39,91,7.16,overcast clouds
21,Lodja,CD,-3.4833,23.4333,65.21,99,83,1.86,broken clouds
22,Rocha,UY,-34.4833,-54.3333,57.42,96,100,2.89,moderate rain
23,Busselton,AU,-33.65,115.3333,63.43,58,99,8.55,overcast clouds
24,Wairoa,NZ,-39.0333,177.3667,54.55,62,100,11.01,overcast clouds
25,Pisco,PE,-13.7,-76.2167,61.02,82,13,9.22,mist
26,Bengkulu,ID,-3.8004,102.2655,80.33,79,100,3.62,overcast clouds
27,Pavilosta,LV,56.8879,21.1859,42.71,78,69,9.75,broken clouds
28,Yellowknife,CA,62.456,-114.3525,34.32,93,75,10.36,light rain
29,Kununurra,AU,-15.7667,128.7333,103.03,16,30,9.13,scattered clouds
30,Bluff,NZ,-46.6,168.3333,49.69,53,87,11.25,overcast clouds
31,Bissau,GW,11.8636,-15.5977,77.61,82,69,4.72,light rain
32,Ostrovnoy,RU,68.0531,39.5131,36.41,68,100,29.71,light rain
33,Narsaq,GL,60.9167,-46.05,30.42,68,100,8.28,overcast clouds
34,Komsomolskiy,UZ,40.4272,71.7189,43.52,81,18,4.61,few clouds
35,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,25.32,clear sky
36,Flinders,AU,-34.5833,150.8552,71.06,86,100,7.02,light rain
37,New Norfolk,AU,-42.7826,147.0587,73.92,45,100,9.13,light rain
38,Tual,ID,-5.6667,132.75,84.15,70,100,4.5,overcast clouds
39,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,4.61,scattered clouds
40,Port Macquarie,AU,-31.4333,152.9167,70.59,90,81,18.81,moderate rain
41,Laramie,US,41.3114,-105.5911,57.96,22,0,10.36,clear sky
42,Ustyuzhna,RU,58.8394,36.4321,36.55,95,100,5.84,overcast clouds
43,Ushuaia,AR,-54.8,-68.3,42.46,45,20,2.3,few clouds
44,Mashhad,IR,36.297,59.6062,51.94,66,0,4.61,clear sky
45,Georgetown,MY,5.4112,100.3354,87.89,75,20,2.3,few clouds
46,Surt,LY,31.2089,16.5887,71.6,63,1,8.68,clear sky
47,Guerrero Negro,MX,27.9769,-114.0611,71.71,80,0,10.31,clear sky
48,Camabatela,AO,-8.1881,15.375,62.65,98,100,2.17,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,-1.53,69,0,10.16,clear sky
50,Iqaluit,CA,63.7506,-68.5145,35.33,87,100,11.5,overcast clouds
51,Mbala,ZM,-8.8402,31.3659,61.3,58,45,7.81,scattered clouds
52,Kautokeino,NO,69.0125,23.0412,29.21,79,99,6.55,overcast clouds
53,Port Augusta,AU,-32.5,137.7667,77.31,51,2,9.55,clear sky
54,Ivdel,RU,60.6911,60.4206,30.88,72,84,9.82,broken clouds
55,Norman Wells,CA,65.282,-126.8329,26.64,86,75,4.61,broken clouds
56,Albany,US,42.6001,-73.9662,42.55,73,100,3.65,overcast clouds
57,San Quintin,MX,30.4833,-115.95,69.84,77,0,1.57,clear sky
58,Socol,RO,44.8608,21.3703,37.85,59,0,5.1,clear sky
59,Madaba,JO,31.5833,35.6667,64.71,67,22,3.22,few clouds
60,Grand Gaube,MU,-20.0064,57.6608,70.38,83,25,14.38,scattered clouds
61,Mattru,SL,7.6244,-11.8332,71.85,98,54,0.45,light rain
62,Luderitz,NA,-26.6481,15.1594,59.85,80,97,19.13,overcast clouds
63,Sinop,TR,41.7711,34.8709,40.91,83,23,4.76,few clouds
64,Caravelas,BR,-17.7125,-39.2481,72.21,88,12,6.85,few clouds
65,Asau,RO,46.4333,26.4,27.52,77,0,2.24,clear sky
66,Rosarito,MX,32.3333,-117.0333,75.42,63,45,1.74,scattered clouds
67,Hilo,US,19.7297,-155.09,83.93,73,75,11.5,broken clouds
68,Hofn,IS,64.2539,-15.2082,42.51,74,100,11.88,overcast clouds
69,Dikson,RU,73.5069,80.5464,32.04,94,100,13.47,overcast clouds
70,Codrington,AU,-38.2667,141.9667,68.14,82,95,3.87,light rain
71,Acapulco,MX,16.8634,-99.8901,78.62,89,100,6.91,overcast clouds
72,Sitka,US,57.0531,-135.33,48.09,81,100,8.05,light rain
73,Dudinka,RU,69.4058,86.1778,34.63,98,100,15.64,snow
74,Port Alfred,ZA,-33.5906,26.891,61.18,97,68,0.96,broken clouds
75,East London,ZA,-33.0153,27.9116,65.37,79,77,2.86,broken clouds
76,Udachnyy,RU,66.4167,112.4,30.45,74,34,9.69,scattered clouds
77,Salmon Arm,CA,50.6998,-119.3024,53.44,65,95,1.14,overcast clouds
78,Taksimo,RU,56.3444,114.8794,29.97,66,98,1.48,overcast clouds
79,Elizabeth City,US,36.2946,-76.2511,55.42,81,0,4.61,clear sky
80,Lauro Muller,BR,-28.3928,-49.3967,65.28,95,100,3.02,overcast clouds
81,Saldanha,ZA,-33.0117,17.9442,53.65,84,54,18.37,broken clouds
82,Vao,NC,-22.6667,167.4833,71.51,65,100,18.34,overcast clouds
83,Ponta Do Sol,PT,32.6667,-17.1,73.0,83,100,3.56,light rain
84,Sur,OM,22.5667,59.5289,81.73,35,0,1.03,clear sky
85,Belaya Gora,RU,68.5333,146.4167,13.93,90,100,12.46,overcast clouds
86,Hambantota,LK,6.1241,81.1185,77.34,100,99,4.61,overcast clouds
87,Buala,SB,-8.145,159.5921,85.03,71,96,6.26,light rain
88,Barrow,US,71.2906,-156.7887,28.42,86,100,24.16,mist
89,Chuy,UY,-33.6971,-53.4616,59.56,93,100,5.26,moderate rain
90,Beloha,MG,-25.1667,45.05,71.49,67,0,5.55,clear sky
91,Puerto Ayora,EC,-0.7393,-90.3518,67.55,91,97,8.01,overcast clouds
92,Herat,AF,34.5,62.0,58.73,26,8,4.65,clear sky
93,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.7,97,100,1.3,overcast clouds
94,Ruidoso,US,33.3317,-105.673,52.75,37,0,6.91,clear sky
95,Sakakah,SA,29.9697,40.2064,72.97,31,17,4.56,few clouds
96,Hamilton,US,39.1834,-84.5333,48.78,49,0,8.05,clear sky
97,Zarubino,RU,42.63,131.0922,59.18,53,75,5.37,broken clouds
98,Victoria,HK,22.2855,114.1577,82.45,66,43,7.0,scattered clouds
99,Mto Wa Mbu,TZ,-3.35,35.85,64.44,85,100,4.0,overcast clouds
100,Atuona,PF,-9.8,-139.0333,77.23,67,5,16.55,clear sky
101,West Monroe,US,32.5185,-92.1476,61.52,61,0,3.44,clear sky
102,Bisho,ZA,-32.8472,27.4422,57.61,89,68,4.72,broken clouds
103,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,45,8.63,light rain
104,Tiksi,RU,71.6872,128.8694,3.74,92,10,9.4,clear sky
105,Katsuura,JP,35.1333,140.3,69.44,55,0,11.61,clear sky
106,Strunino,RU,56.3833,38.5667,36.28,85,99,5.82,overcast clouds
